ID,Athlete_ID,Name,Sex,Age,Height,Weight,Country_Code,Region,Games,Year,Season,City,Sport,Event,Medal
41820,118543,Bralon Shazam Taplin,M,24,180.0,75.0,GRN,North America,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Mens 400 metres,
41821,118548,Kaarle Tapper,M,20,190.0,84.0,FIN,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Mens One Person Dinghy,
41822,118549,Melissa Tapper,F,26,166.0,65.0,AUS,Australia and Oceania,2016 Summer,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Womens Singles,
41823,118549,Melissa Tapper,F,26,166.0,65.0,AUS,Australia and Oceania,2016 Summer,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Womens Team,
41824,118591,Grigory Arkadyevich Tarasevich,M,21,190.0,75.0,RUS,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Mens 100 metres Backstroke,
41825,118591,Grigory Arkadyevich Tarasevich,M,21,190.0,75.0,RUS,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Mens 4 x 100 metres Medley Relay,
41826,118602,Aleksandra Yevgenyevna Tarasova,F,28,170.0,64.0,BLR,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Womens Basketball,
41827,118606,Yuliya Aleksandrovna Tarasova,F,30,174.0,66.0,UZB,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Womens Long Jump,
41828,118638,Oleg Tarnovschi,M,24,181.0,80.0,MDA,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,Canoeing Mens Canadian Singles 200 metres,
41829,118639,Serghei Tarnovschi,M,19,178.0,80.0,MDA,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,Canoeing Mens Canadian Singles 1000 metres,
41830,118645,Juraj Tarr,M,37,190.0,88.0,SVK,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,Canoeing Mens Kayak Doubles 1000 metres,
41831,118645,Juraj Tarr,M,37,190.0,88.0,SVK,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,Canoeing Mens Kayak Fours 1000 metres,Silver
41832,118649,Roser Tarrag Aymerich,F,23,171.0,62.0,ESP,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Womens Water Polo,
41833,118650,Blair Tarrant,M,26,185.0,83.0,NZL,Australia and Oceania,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Mens Hockey,
41834,118660,Flavia Tartaglini,F,31,171.0,59.0,ITA,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Womens Windsurfer,
41835,118682,Kanami Tashiro,F,25,173.0,66.0,JPN,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Womens Volleyball,
41836,118685,Miku Tashiro,F,22,163.0,63.0,JPN,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Womens Half Middleweight,
41837,118690,Sideris Tasiadis,M,26,179.0,79.0,DEU,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,Canoeing Mens Canadian Singles Slalom,
